alpha body, Efficiency
  -4.000000,   -5.178977
  -3.172414,   -1.421001
  -2.344828,    2.686213
  -1.517241,    6.790544
  -0.689655,   10.527097
   0.137931,   13.625142
   0.965517,   15.938538
   1.793103,   17.476607
   2.620690,   18.331551
   3.448276,   18.653236
   4.275862,   18.587763
   5.103448,   18.254864
   5.931034,   17.747662
   6.758621,   17.136840
   7.586207,   16.474435
   8.413793,   15.775131
   9.241379,   15.022572
  10.068966,   14.290242
  10.896552,   13.669100
  11.724138,   13.269053
  12.551724,   13.246108
  13.379310,   13.828278
  14.206897,   15.303862
  15.034483,   17.928921
  15.862069,   21.722748
