alpha body, CLh_e
  -4.000000,   -0.323651
  -3.517241,   -0.303944
  -3.034483,   -0.284041
  -2.551724,   -0.263933
  -2.068966,   -0.243630
  -1.586207,   -0.223121
  -1.103448,   -0.202415
  -0.620690,   -0.181499
  -0.137931,   -0.160382
   0.344828,   -0.139055
   0.827586,   -0.117523
   1.310345,   -0.095778
   1.793103,   -0.073824
   2.275862,   -0.044334
   2.758621,   -0.022143
   3.241379,    0.000263
   3.724138,    0.022886
   4.206897,    0.045727
   4.689655,    0.068794
   5.172414,    0.092083
   5.655172,    0.115603
   6.137931,    0.139353
   6.620690,    0.163338
   7.103448,    0.187560
   7.586207,    0.212022
   8.068966,    0.236724
   8.551724,    0.261656
   9.034483,    0.286838
   9.517241,    0.312267
  10.000000,    0.337590
