alpha body, CLh_e
  -4.000000,   -0.218758
  -3.517241,   -0.215989
  -3.034483,   -0.213049
  -2.551724,   -0.209928
  -2.068966,   -0.206637
  -1.586207,   -0.203164
  -1.103448,   -0.199517
  -0.620690,   -0.195687
  -0.137931,   -0.191679
   0.344828,   -0.187486
   0.827586,   -0.183113
   1.310345,   -0.178553
   1.793103,   -0.173809
   2.275862,   -0.162212
   2.758621,   -0.157265
   3.241379,   -0.152130
   3.724138,   -0.146804
   4.206897,   -0.141287
   4.689655,   -0.135572
   5.172414,   -0.129662
   5.655172,   -0.123550
   6.137931,   -0.117237
   6.620690,   -0.110717
   7.103448,   -0.103992
   7.586207,   -0.097056
   8.068966,   -0.089911
   8.551724,   -0.082566
   9.034483,   -0.075004
   9.517241,   -0.067228
  10.000000,   -0.059081
