Time, xL = int(m(hdotc - hdot))
 122.000000, 51469055.278020
 122.500000, 51473281.004782
 123.000000, 51477460.923777
 123.500000, 51481595.513593
 124.000000, 51485685.247573
 124.500000, 51489730.593871
 125.000000, 51493732.015520
 125.500000, 51497689.970484
 126.000000, 51501604.911717
 126.500000, 51505477.287225
 127.000000, 51509307.540121
 127.500000, 51513096.108680
 128.000000, 51516843.426400
 128.500000, 51520549.922051
 129.000000, 51524216.019737
 129.500000, 51527842.138944
 130.000000, 51531428.694600
 130.500000, 51534976.097124
 131.000000, 51538484.752478
 131.500000, 51541955.062223
 132.000000, 51545387.423569
 132.500000, 51548782.229422
 133.000000, 51552139.868442
 133.500000, 51555460.725084
 134.000000, 51558745.179653
 134.500000, 51561993.608353
 135.000000, 51565206.383329
 135.500000, 51568383.872722
 136.000000, 51571526.440709
 136.500000, 51574634.447555
 137.000000, 51577708.249655
 137.500000, 51580748.199579
 138.000000, 51583754.646121
 138.500000, 51586727.934337
 139.000000, 51589668.405594
 139.500000, 51592576.397608
 140.000000, 51595452.244492
 140.500000, 51598296.276792
 141.000000, 51601108.821534
 141.500000, 51603890.202261
 142.000000, 51606640.739074
 142.500000, 51609360.748674
 143.000000, 51612050.544399
 143.500000, 51614710.436265
 144.000000, 51617340.731001
 144.500000, 51619941.732093
 145.000000, 51622513.739813
 145.500000, 51625057.051265
 146.000000, 51627571.960414
 146.500000, 51630058.758126
 147.000000, 51632517.732204
 147.500000, 51634949.167421
 148.000000, 51637353.345554
 148.500000, 51639730.545423
 149.000000, 51642081.042919
 149.500000, 51644405.111041
 150.000000, 51646703.019927
 150.500000, 51648975.036888
 151.000000, 51651221.426441
 151.500000, 51653442.450337
 152.000000, 51655638.367595
 152.500000, 51657809.434533
 153.000000, 51659955.904797
 153.500000, 51662078.029394
 154.000000, 51664176.056717
 154.500000, 51666250.232579
 155.000000, 51668300.800238
 155.500000, 51670328.000431
 156.000000, 51672332.071396
 156.500000, 51674313.248904
 157.000000, 51676271.766283
 157.500000, 51678207.854451
 158.000000, 51680121.741936
 158.500000, 51682013.654908
 159.000000, 51683883.817202
 159.500000, 51685732.450343
 160.000000, 51687559.773576
 160.500000, 51689366.003886
 161.000000, 51691151.356026
 161.500000, 51692916.042541
 162.000000, 51694660.273791
 162.500000, 51696384.257976
 163.000000, 51698088.201160
 163.500000, 51699772.307292
 164.000000, 51701436.778234
 164.500000, 51703081.813777
 165.000000, 51704707.611669
 165.500000, 51706314.367633
 166.000000, 51707902.275393
 166.500000, 51709471.526693
 167.000000, 51711022.311318
 167.500000, 51712554.817117
 168.000000, 51714069.230023
 168.500000, 51715565.734072
 169.000000, 51717044.511427
 169.500000, 51718505.742393
 170.000000, 51719949.605441
 170.500000, 51721376.277228
 171.000000, 51722785.932610
 171.500000, 51724178.744671
 172.000000, 51725554.884732
 172.500000, 51726914.522376
 173.000000, 51728257.825465
 173.500000, 51729584.960157
 174.000000, 51730896.090925
 174.500000, 51732191.380574
 175.000000, 51733470.990259
 175.500000, 51734735.079504
 176.000000, 51735983.806215
 176.500000, 51737217.326700
 177.000000, 51738435.795687
 177.500000, 51739639.366337
 178.000000, 51740828.190261
 178.500000, 51742002.417539
 179.000000, 51743162.196734
 179.500000, 51744307.674906
 180.000000, 51745438.997631
