Time, xL = int(m(hdotc - hdot))
   0.000000, 51975245.000000
   0.500000, 51975244.871211
   1.000000, 51975243.867840
   1.500000, 51975241.027761
   2.000000, 51975235.519533
   2.500000, 51975226.716778
   3.000000, 51975214.187233
   3.500000, 51975197.655202
   4.000000, 51975176.961933
   4.500000, 51975152.032342
   5.000000, 51975122.849590
   5.500000, 51975089.436625
   6.000000, 51975051.843130
   6.500000, 51975010.136452
   7.000000, 51974964.395352
   7.500000, 51974914.705724
   8.000000, 51974861.157668
   8.500000, 51974803.843496
   9.000000, 51974742.856374
   9.500000, 51974678.289398
  10.000000, 51974610.234970
  10.500000, 51974538.784378
  11.000000, 51974464.027512
  11.500000, 51974386.052684
  12.000000, 51974304.946505
  12.500000, 51974220.793817
  13.000000, 51974133.677649
  13.500000, 51974043.679196
  14.000000, 51973950.877823
  14.500000, 51973855.351063
  15.000000, 51973757.174636
  15.500000, 52208735.244747
  16.000000, 52409800.678631
  16.500000, 52564837.232436
  17.000000, 52679964.802921
  17.500000, 52763766.656394
  18.000000, 52823957.035478
  18.500000, 52866644.415196
  19.000000, 52896427.154767
  19.500000, 52916692.614400
  20.000000, 52929914.728894
  20.500000, 52937896.376187
  21.000000, 52941952.871334
  21.500000, 52943046.651807
  22.000000, 52941884.852752
  22.500000, 52938989.660781
  23.000000, 52934748.995877
  23.500000, 52929453.052741
  24.000000, 52923320.686583
  24.500000, 52916518.497878
  25.000000, 52909174.659547
  25.500000, 52901388.951681
  26.000000, 52893240.056607
  26.500000, 52884790.872441
  27.000000, 52876092.392136
  27.500000, 52867186.543158
  28.000000, 52858108.273544
  28.500000, 52848887.091086
  29.000000, 52839548.205248
  29.500000, 52830113.380113
  30.000000, 52820601.576751
  30.500000, 52811029.441728
  31.000000, 52801411.682850
  31.500000, 52791761.361871
  32.000000, 52782090.125741
  32.500000, 52772408.392022
  33.000000, 52762725.499863
  33.500000, 52753049.834806
  34.000000, 52743388.933481
  34.500000, 52733749.572663
  35.000000, 52724137.845949
  35.500000, 52714559.230526
  36.000000, 52705018.645860
  36.500000, 52695520.505694
  37.000000, 52686068.764436
  37.500000, 52676666.958763
  38.000000, 52667318.245102
  38.500000, 52658025.433518
  39.000000, 52648791.018434
  39.500000, 52639617.206555
  40.000000, 52630505.942267
  40.500000, 52621458.930809
  41.000000, 52612477.659393
  41.500000, 52603563.416502
  42.000000, 52594717.309520
  42.500000, 52585940.280837
  43.000000, 52577233.122584
  43.500000, 52568596.490104
  44.000000, 52560030.914270
  44.500000, 52551536.812759
  45.000000, 52543114.500362
  45.500000, 52534764.198410
  46.000000, 52526486.043404
  46.500000, 52518280.094903
  47.000000, 52510146.342742
  47.500000, 52502084.713629
  48.000000, 52494095.077179
  48.500000, 52486177.251433
  49.000000, 52478331.007898
  49.500000, 52470556.076159
  50.000000, 52462852.148088
  50.500000, 52455218.881697
  51.000000, 52447655.904647
  51.500000, 52440162.817468
  52.000000, 52432739.196482
  52.500000, 52425384.596484
  53.000000, 52418098.553184
  53.500000, 52410880.585437
  54.000000, 52403730.197272
  54.500000, 52396646.879751
  55.000000, 52389630.112653
  55.500000, 52382679.366019
  56.000000, 52375794.101553
  56.500000, 52368973.773895
  57.000000, 52362217.831790
  57.500000, 52355525.719140
  58.000000, 52348896.875966
  58.500000, 52342330.739281
  59.000000, 52335826.743887
  59.500000, 52329384.323086
  60.000000, 52323002.909341
  60.500000, 52316681.934862
  61.000000, 52310420.832140
  61.500000, 52304219.034435
  62.000000, 52298075.976210
  62.500000, 52291991.093522
  63.000000, 52285963.824385
  63.500000, 52279993.609079
  64.000000, 52274079.890446
  64.500000, 52268222.114141
  65.000000, 52262419.728863
  65.500000, 52256672.186560
  66.000000, 52250978.942614
  66.500000, 52245339.455997
  67.000000, 52239753.189421
  67.500000, 52234219.609455
  68.000000, 52228738.186645
  68.500000, 52223308.395601
  69.000000, 52217929.715086
  69.500000, 52212601.628084
  70.000000, 52207323.621861
  70.500000, 52202095.188016
  71.000000, 52196915.822523
  71.500000, 52191785.025763
  72.000000, 52186702.302553
  72.500000, 52181667.162162
  73.000000, 52176679.118327
  73.500000, 52171737.689264
  74.000000, 52166842.397663
  74.500000, 52161992.770696
  75.000000, 52157188.340005
  75.500000, 52152428.641698
  76.000000, 52147713.216330
  76.500000, 52143041.608898
  77.000000, 52138413.368812
  77.500000, 52133828.049884
  78.000000, 52129285.210299
  78.500000, 52124784.412595
  79.000000, 52120325.223635
  79.500000, 52115907.214580
  80.000000, 52111529.960862
  80.500000, 52107193.042150
  81.000000, 52102896.042322
  81.500000, 52098638.549434
  82.000000, 52094420.155683
  82.500000, 52090240.457380
  83.000000, 52086099.054909
  83.500000, 52081995.552699
  84.000000, 52077929.559184
  84.500000, 52073900.686773
  85.000000, 52069908.551809
  85.500000, 51870473.684952
  86.000000, 51673393.089418
  86.500000, 51517917.387939
  87.000000, 51400312.118350
  87.500000, 51313543.722877
  88.000000, 51250708.816161
  88.500000, 51206022.806995
  89.000000, 51174935.800542
  89.500000, 51153973.313390
  90.000000, 51140520.880587
  90.500000, 51132625.898094
  91.000000, 51128835.616147
  91.500000, 51128071.191363
  92.000000, 51129532.113649
  92.500000, 51132624.564849
  93.000000, 51136908.052583
  93.500000, 51142055.782836
  94.000000, 51147825.278000
  94.500000, 51154036.603865
  95.000000, 51160556.236077
  95.500000, 51167285.102802
  96.000000, 51174149.719278
  96.500000, 51181095.611834
  97.000000, 51188082.437750
  97.500000, 51195080.361834
  98.000000, 51202067.364776
  98.500000, 51209027.242704
  99.000000, 51215948.119773
  99.500000, 51222821.341732
 100.000000, 51229640.652554
 100.500000, 51236401.581483
 101.000000, 51243100.986563
 101.500000, 51249736.714594
 102.000000, 51256307.347744
 102.500000, 51262812.014693
 103.000000, 51269250.249831
 103.500000, 51275621.888283
 104.000000, 51281926.987610
 104.500000, 51288165.769425
 105.000000, 51294338.575837
 105.500000, 51300445.836972
 106.000000, 51306488.046749
 106.500000, 51312465.744813
 107.000000, 51318379.503079
 107.500000, 51324229.915690
 108.000000, 51330017.591553
 108.500000, 51335743.148776
 109.000000, 51341407.210541
 109.500000, 51347010.402035
 110.000000, 51352553.348183
 110.500000, 51358036.671969
 111.000000, 51363460.993209
 111.500000, 51368826.927644
 112.000000, 51374135.086288
 112.500000, 51379386.074961
 113.000000, 51384580.493950
 113.500000, 51389718.937781
 114.000000, 51394801.995070
 114.500000, 51399830.248419
 115.000000, 51404804.274365
 115.500000, 51409724.643356
 116.000000, 51414591.919752
 116.500000, 51419406.661841
 117.000000, 51424169.421870
 117.500000, 51428880.746084
 118.000000, 51433541.174773
 118.500000, 51438151.242321
 119.000000, 51442711.477266
 119.500000, 51447222.402351
 120.000000, 51451684.534588
 120.500000, 51456098.385316
 121.000000, 51460464.460261
 121.500000, 51464783.259600
