eta, Cl
   0.000000,    1.246922
   0.020408,    1.251626
   0.040816,    1.260670
   0.061224,    1.269354
   0.081633,    1.277662
   0.102041,    1.285582
   0.122449,    1.293103
   0.142857,    1.300214
   0.163265,    1.306906
   0.183673,    1.313169
   0.204082,    1.318993
   0.224490,    1.324368
   0.244898,    1.329281
   0.265306,    1.333720
   0.285714,    1.337670
   0.306122,    1.341114
   0.326531,    1.344034
   0.346939,    1.346407
   0.367347,    1.348211
   0.387755,    1.349417
   0.408163,    1.349996
   0.428571,    1.349912
   0.448980,    1.349127
   0.469388,    1.347594
   0.489796,    1.345266
   0.510204,    1.342074
   0.530612,    1.337954
   0.551020,    1.332839
   0.571429,    1.326645
   0.591837,    1.319276
   0.612245,    1.310622
   0.632653,    1.300557
   0.653061,    1.288934
   0.673469,    1.275583
   0.693878,    1.260307
   0.714286,    1.242873
   0.734694,    1.223006
   0.755102,    1.200377
   0.775510,    1.174589
   0.795918,    1.145159
   0.816327,    1.111485
   0.836735,    1.072808
   0.857143,    1.028146
   0.877551,    0.976191
   0.897959,    0.915121
   0.918367,    0.842260
   0.938776,    0.753317
   0.959184,    0.640428
   0.979592,    0.484992
   1.000000,    0.000000
