alpha body, CM
  -4.000000,    0.392103
  -3.517241,    0.399103
  -3.034483,    0.409473
  -2.551724,    0.420055
  -2.068966,    0.430855
  -1.586207,    0.441864
  -1.103448,    0.453082
  -0.620690,    0.464510
  -0.137931,    0.476147
   0.344828,    0.488404
   0.827586,    0.500438
   1.310345,    0.512676
   1.793103,    0.525119
   2.275862,    0.537765
   2.758621,    0.550624
   3.241379,    0.563684
   3.724138,    0.576946
   4.206897,    0.590405
   4.689655,    0.604061
   5.172414,    0.617918
   5.655172,    0.631837
   6.137931,    0.645153
   6.620690,    0.658014
   7.103448,    0.670917
   7.586207,    0.683828
   8.068966,    0.691059
