alpha body, CM
  -4.000000,    0.589817
  -3.517241,    0.597071
  -3.034483,    0.607681
  -2.551724,    0.618490
  -2.068966,    0.629502
  -1.586207,    0.640710
  -1.103448,    0.652113
  -0.620690,    0.663712
  -0.137931,    0.675507
   0.344828,    0.687907
   0.827586,    0.700071
   1.310345,    0.712425
   1.793103,    0.724971
   2.275862,    0.737705
   2.758621,    0.750638
   3.241379,    0.763759
   3.724138,    0.777067
   4.206897,    0.790559
   4.689655,    0.804234
   5.172414,    0.818096
   5.655172,    0.832006
   6.137931,    0.845300
   6.620690,    0.858123
   7.103448,    0.870976
   7.586207,    0.883823
   8.068966,    0.890976
