alpha body, CM
  -4.000000,   -0.094275
  -3.517241,   -0.087937
  -3.034483,   -0.078196
  -2.551724,   -0.068207
  -2.068966,   -0.057967
  -1.586207,   -0.047483
  -1.103448,   -0.036756
  -0.620690,   -0.025785
  -0.137931,   -0.014570
   0.344828,   -0.002701
   0.827586,    0.008981
   1.310345,    0.020900
   1.793103,    0.033059
   2.275862,    0.045456
   2.758621,    0.058100
   3.241379,    0.070981
   3.724138,    0.084096
   4.206897,    0.097445
   4.689655,    0.111024
   5.172414,    0.124841
   5.655172,    0.138752
   6.137931,    0.152096
   6.620690,    0.165019
   7.103448,    0.178020
   7.586207,    0.191063
   8.068966,    0.198460
