alpha body, CM
  -4.000000,    0.670976
  -3.517241,    0.678273
  -3.034483,    0.688921
  -2.551724,    0.699763
  -2.068966,    0.710803
  -1.586207,    0.722034
  -1.103448,    0.733455
  -0.620690,    0.745067
  -0.137931,    0.756869
   0.344828,    0.769273
   0.827586,    0.781435
   1.310345,    0.793782
   1.793103,    0.806315
   2.275862,    0.819032
   2.758621,    0.831944
   3.241379,    0.845038
   3.724138,    0.858314
   4.206897,    0.871769
   4.689655,    0.885402
   5.172414,    0.899218
   5.655172,    0.913076
   6.137931,    0.926313
   6.620690,    0.939075
   7.103448,    0.951861
   7.586207,    0.964637
   8.068966,    0.971713
