alpha body, CM
  -4.000000,    0.623441
  -3.517241,    0.630710
  -3.034483,    0.641333
  -2.551724,    0.652153
  -2.068966,    0.663175
  -1.586207,    0.674390
  -1.103448,    0.685799
  -0.620690,    0.697401
  -0.137931,    0.709197
   0.344828,    0.721596
   0.827586,    0.733758
   1.310345,    0.746107
   1.793103,    0.758646
   2.275862,    0.771371
   2.758621,    0.784294
   3.241379,    0.797402
   3.724138,    0.810695
   4.206897,    0.824170
   4.689655,    0.837826
   5.172414,    0.851668
   5.655172,    0.865555
   6.137931,    0.878824
   6.620690,    0.891621
   7.103448,    0.904446
   7.586207,    0.917262
   8.068966,    0.924382
