alpha body, CM
  -4.000000,   -0.339972
  -3.517241,   -0.333981
  -3.034483,   -0.324569
  -2.551724,   -0.314893
  -2.068966,   -0.304947
  -1.586207,   -0.294740
  -1.103448,   -0.284273
  -0.620690,   -0.273544
  -0.137931,   -0.262554
   0.344828,   -0.250892
   0.827586,   -0.239400
   1.310345,   -0.227653
   1.793103,   -0.215648
   2.275862,   -0.203388
   2.758621,   -0.190864
   3.241379,   -0.178085
   3.724138,   -0.165054
   4.206897,   -0.151772
   4.689655,   -0.138241
   5.172414,   -0.124457
   5.655172,   -0.110559
   6.137931,   -0.097211
   6.620690,   -0.084267
   7.103448,   -0.071227
   7.586207,   -0.058128
   8.068966,   -0.050657
