alpha body, CM
  -4.000000,    0.151559
  -3.517241,    0.158237
  -3.034483,    0.168301
  -2.551724,    0.178595
  -2.068966,    0.189123
  -1.586207,    0.199877
  -1.103448,    0.210857
  -0.620690,    0.222064
  -0.137931,    0.233497
   0.344828,    0.245566
   0.827586,    0.257430
   1.310345,    0.269515
   1.793103,    0.281822
   2.275862,    0.294349
   2.758621,    0.307106
   3.241379,    0.320081
   3.724138,    0.333274
   4.206897,    0.346683
   4.689655,    0.360305
   5.172414,    0.374145
   5.655172,    0.388064
   6.137931,    0.401398
   6.620690,    0.414292
   7.103448,    0.427247
   7.586207,    0.440227
   8.068966,    0.447543
