alpha body, CM
  -4.000000,    0.826241
  -3.517241,    0.833709
  -3.034483,    0.844518
  -2.551724,    0.855510
  -2.068966,    0.866690
  -1.586207,    0.878050
  -1.103448,    0.889589
  -0.620690,    0.901309
  -0.137931,    0.913209
   0.344828,    0.925698
   0.827586,    0.937936
   1.310345,    0.950348
   1.793103,    0.962936
   2.275862,    0.975697
   2.758621,    0.988641
   3.241379,    1.001758
   3.724138,    1.015045
   4.206897,    1.028501
   4.689655,    1.042124
   5.172414,    1.055919
   5.655172,    1.069746
   6.137931,    1.082941
   6.620690,    1.095651
   7.103448,    1.108374
   7.586207,    1.121075
   8.068966,    1.128066
