eta, basic load
   0.000000, 13342.966003
   0.020408, 13221.233380
   0.040816, 13183.666305
   0.061224, 13127.645689
   0.081633, 13055.613399
   0.102041, 12969.196496
   0.122449, 12869.590759
   0.142857, 12757.711565
   0.163265, 12634.268873
   0.183673, 12499.807987
   0.204082, 12354.730805
   0.224490, 12199.302948
   0.244898, 12033.646907
   0.265306, 11857.716169
   0.285714, 11667.271228
   0.306122, 11464.023465
   0.326531, 11260.068901
   0.346939, 11036.750203
   0.367347, 10804.959902
   0.387755, 10566.102383
   0.408163, 10321.256991
   0.428571, 10071.316315
   0.448980, 9817.042000
   0.469388, 9559.093577
   0.489796, 9298.045826
   0.510204, 9034.342691
   0.530612, 8768.425071
   0.551020, 8500.725243
   0.571429, 8231.558670
   0.591837, 7961.184824
   0.612245, 7689.806458
   0.632653, 7417.566887
   0.653061, 7144.544957
   0.673469, 6870.747178
   0.693878, 6596.096203
   0.714286, 6320.414421
   0.734694, 6043.400809
   0.755102, 5764.598206
   0.775510, 5483.346589
   0.795918, 5198.715305
   0.816327, 4909.402625
   0.836735, 4613.582624
   0.857143, 4308.663388
   0.877551, 3990.887471
   0.897959, 3654.631420
   0.918367, 3291.074377
   0.938776, 2885.354341
   0.959184, 2409.267515
   0.979592, 1795.060734
   1.000000,    0.000000
