CD, CL
   0.011051,    0.000000
   0.011831,    0.057289
   0.014219,    0.114577
   0.018137,    0.171866
   0.023678,    0.229154
   0.030754,    0.286443
   0.039450,    0.343732
   0.049704,    0.401020
   0.061535,    0.458283
   0.074908,    0.515390
   0.089746,    0.572155
   0.105991,    0.628359
   0.123497,    0.683748
   0.142126,    0.738032
   0.161674,    0.790886
   0.181885,    0.841950
   0.202503,    0.890828
   0.223167,    0.937091
   0.243555,    0.980273
   0.263222,    1.019873
