alpha, Cm
   0.000000,    0.000000
   1.578947,   -0.004363
   3.157895,   -0.008725
   4.736842,   -0.013088
   6.315789,   -0.017451
   7.894737,   -0.021813
   9.473684,   -0.026176
  11.052632,   -0.030539
  12.631579,   -0.034901
  14.210526,   -0.039264
  15.789474,   -0.043627
  17.368421,   -0.047989
  18.947368,   -0.052352
  20.526316,   -0.056715
  22.105263,   -0.061077
  23.684211,   -0.065440
  25.263158,   -0.069803
  26.842105,   -0.074165
  28.421053,   -0.078528
  30.000000,   -0.082890
