CD, CL
   0.025866,   -0.306336
   0.024687,   -0.215691
   0.024174,   -0.125776
   0.024312,   -0.035919
   0.025112,    0.053882
   0.026574,    0.143628
   0.028710,    0.233322
   0.031531,    0.322965
   0.035061,    0.412559
   0.039298,    0.502106
   0.044244,    0.591608
   0.049913,    0.681252
   0.056320,    0.771256
   0.063478,    0.861321
   0.071388,    0.951452
   0.080029,    1.039911
   0.088697,    1.113632
   0.096231,    1.162972
   0.101873,    1.190103
   0.105471,    1.209004
   0.107548,    1.245471
   0.109155,    1.337140
   0.111674,    1.533523
   0.116677,    1.896094
   0.126081,    2.498204
