CD, CL
   0.023021,   -0.117645
   0.021842,   -0.027000
   0.021329,    0.062915
   0.021467,    0.152772
   0.022267,    0.242573
   0.023729,    0.332319
   0.025865,    0.422012
   0.028686,    0.511655
   0.032216,    0.601250
   0.036453,    0.690797
   0.041399,    0.780299
   0.047068,    0.869943
   0.053475,    0.959946
   0.060633,    1.050012
   0.068543,    1.140143
   0.077184,    1.228602
   0.085852,    1.302322
   0.093386,    1.351663
   0.099028,    1.378794
   0.102626,    1.397695
   0.104703,    1.434161
   0.106310,    1.525831
   0.108829,    1.722214
   0.113832,    2.084785
   0.123236,    2.686895
