Ground Roll Distance, Acceleration
 335.941767,   -0.690854
 343.692742,   -0.688644
 396.953039,   -0.673708
 407.490236,   -0.670804
 417.989572,   -0.667927
 428.451227,   -0.665078
 438.875380,   -0.662254
 440.955725,   -0.661693
 440.988999,   -0.661684
 441.014511,   -0.661677
 441.027570,   -0.661674
 441.033783,   -0.661672
 441.036360,   -0.661671
 441.036942,   -0.661671
 441.037292,   -2.695504
 441.037613,   -2.695508
 441.040819,   -2.695538
 441.072879,   -2.695843
 441.393424,   -2.698891
 444.592635,   -2.729546
 451.914282,   -2.801244
 459.730798,   -2.880112
 495.167102,   -3.274628
 528.442532,   -3.711126
 558.246024,   -4.171765
 584.661761,   -4.651132
 607.885574,   -5.144151
 628.140556,   -5.645531
 645.654052,   -6.149786
 647.908274,   -6.220561
 649.168702,   -6.260795
 656.840380,   -6.503078
 663.472511,   -6.727224
 666.241684,   -6.825394
 667.448922,   -6.868956
 668.594855,   -6.910437
 679.263479,   -7.325000
 682.261959,   -7.452369
 684.651159,   -7.558009
 685.144580,   -7.580234
 685.710612,   -7.604127
 691.026427,   -7.839140
 699.023139,   -8.241706
 700.555893,   -8.328942
 701.902603,   -8.409578
 703.196869,   -8.491468
 703.616127,   -8.519112
 703.757323,   -8.528745
 703.895729,   -8.539223
 705.187892,   -8.641987
 708.482720,   -8.984427
 708.944709,   -9.060893
 709.175237,   -9.111311
 709.315893,   -9.153715
 709.392988,   -9.190734
 709.420395,   -9.223203
 709.420817,   -9.225966
 709.420919,   -9.227673
 709.420926,   -9.228256
