eta, D
   0.000000, 1254.010884
   0.020408, 1253.114830
   0.040816, 1239.692173
   0.061224, 1224.084093
   0.081633, 1207.378413
   0.102041, 1189.968864
   0.122449, 1172.047012
   0.142857, 1153.722826
   0.163265, 1135.067091
   0.183673, 1116.363957
   0.204082, 1097.576883
   0.224490, 1078.550560
   0.244898, 1059.315221
   0.265306, 1039.900709
   0.285714, 1020.135196
   0.306122, 1003.570998
   0.326531,  995.486825
   0.346939,  987.170561
   0.367347,  978.538117
   0.387755,  969.572249
   0.408163,  960.261087
   0.428571,  950.594884
   0.448980,  940.564541
   0.469388,  930.161461
   0.489796,  919.382492
   0.510204,  908.189245
   0.530612,  896.570470
   0.551020,  884.538003
   0.571429,  872.067842
   0.591837,  859.139561
   0.612245,  845.730109
   0.632653,  831.812245
   0.653061,  817.353128
   0.673469,  802.312624
   0.693878,  786.641129
   0.714286,  770.276702
   0.734694,  753.378681
   0.755102,  735.944716
   0.775510,  717.604539
   0.795918,  698.211075
   0.816327,  677.571192
   0.836735,  655.428901
   0.857143,  632.191319
   0.877551,  607.564238
   0.897959,  580.489966
   0.918367,  552.663607
   0.938776,  524.646417
   0.959184,  507.948193
   0.979592,  628.494339
   1.000000, -720.497012
