eta, Ccl basic
   0.000000,    1.315187
   0.020408,    1.302974
   0.040816,    1.298736
   0.061224,    1.292498
   0.081633,    1.284565
   0.102041,    1.275136
   0.122449,    1.264359
   0.142857,    1.252342
   0.163265,    1.239173
   0.183673,    1.224916
   0.204082,    1.209618
   0.224490,    1.193312
   0.244898,    1.176011
   0.265306,    1.157710
   0.285714,    1.137995
   0.306122,    1.117014
   0.326531,    1.095909
   0.346939,    1.072905
   0.367347,    1.049094
   0.387755,    1.024634
   0.408163,    0.999645
   0.428571,    0.974225
   0.448980,    0.948457
   0.469388,    0.922411
   0.489796,    0.896150
   0.510204,    0.869720
   0.530612,    0.843168
   0.551020,    0.816537
   0.571429,    0.789861
   0.591837,    0.763165
   0.612245,    0.736472
   0.632653,    0.709797
   0.653061,    0.683150
   0.673469,    0.656532
   0.693878,    0.629940
   0.714286,    0.603358
   0.734694,    0.576760
   0.755102,    0.550108
   0.775510,    0.523339
   0.795918,    0.496371
   0.816327,    0.469080
   0.836735,    0.441295
   0.857143,    0.412769
   0.877551,    0.383135
   0.897959,    0.351838
   0.918367,    0.317997
   0.938776,    0.280100
   0.959184,    0.235255
   0.979592,    0.176505
   1.000000,    0.000000
