1	-0.00742
1.25	-0.006499
1.5	-0.005578
1.75	-0.004742
2	-0.00402
2.25	-0.003432
2.5	-0.002972
2.75	-0.002608
3	-0.002312
3.25	-0.002068
3.5	-0.00186
3.75	-0.00168
4	-0.001516
4.25	-0.001368
4.5	-0.001236
4.75	-0.001116
5	-0.001004
5.25	-0.0009
5.5	-0.000804
5.75	-0.000716
6	-0.000636408163265306
6.25	-0.000569061224489796
6.5	-0.000516081632653061
6.75	-0.000470448979591837
7	-0.000426336734693878
7.25	-0.000384500000000001
7.5	-0.000339512755102042
7.75	-0.000290260204081627
8	-0.000241007653061212
