alpha body, CL_e
  -4.000000,   -0.119284
  -3.172414,   -0.031054
  -2.344828,    0.057325
  -1.517241,    0.145852
  -0.689655,    0.234526
   0.137931,    0.323473
   0.965517,    0.412431
   1.793103,    0.501536
   2.620690,    0.590787
   3.448276,    0.680185
   4.275862,    0.769731
   5.103448,    0.859426
   5.931034,    0.949268
   6.758621,    1.039259
   7.586207,    1.129400
   8.413793,    1.217773
   9.241379,    1.289894
  10.068966,    1.334678
  10.896552,    1.353913
  11.724138,    1.362375
  12.551724,    1.387882
  13.379310,    1.471368
  14.206897,    1.666959
  15.034483,    2.042038
  15.862069,    2.677285
