eta, Cl
   0.000000,    1.142295
   0.020408,    1.160537
   0.040816,    1.196833
   0.061224,    1.234101
   0.081633,    1.272315
   0.102041,    1.311514
   0.122449,    1.351778
   0.142857,    1.393221
   0.163265,    1.435991
   0.183673,    1.480272
   0.204082,    1.526295
   0.224490,    1.574348
   0.244898,    1.624798
   0.265306,    1.678129
   0.285714,    1.735008
   0.306122,    1.796400
   0.326531,    1.862650
   0.346939,    1.920991
   0.367347,    1.927269
   0.387755,    1.925406
   0.408163,    1.923882
   0.428571,    1.922370
   0.448980,    1.920686
   0.469388,    1.918715
   0.489796,    1.916380
   0.510204,    1.913617
   0.530612,    1.910377
   0.551020,    1.906625
   0.571429,    1.902321
   0.591837,    1.897422
   0.612245,    1.891884
   0.632653,    1.885649
   0.653061,    1.878649
   0.673469,    1.870798
   0.693878,    1.861983
   0.714286,    1.852054
   0.734694,    1.840813
   0.755102,    1.827987
   0.775510,    1.813200
   0.795918,    1.795925
   0.816327,    1.775405
   0.836735,    1.750527
   0.857143,    1.719627
   0.877551,    1.680127
   0.897959,    1.627907
   0.918367,    1.556096
   0.938776,    1.452581
   0.959184,    1.294190
   0.979592,    1.028605
   1.000000,    0.000000
