eta, Total_Load
   0.000000, 20916.264156
   0.020408, 20853.609704
   0.040816, 20881.552548
   0.061224, 20913.020032
   0.081633, 20943.309451
   0.102041, 20969.767266
   0.122449, 20990.724556
   0.142857, 21005.067595
   0.163265, 21012.020526
   0.183673, 21011.021397
   0.204082, 21001.645880
   0.224490, 20983.557691
   0.244898, 20956.474944
   0.265306, 20920.146408
   0.285714, 20874.334127
   0.306122, 20818.800175
   0.326531, 20753.296138
   0.346939, 20677.554331
   0.367347, 20591.280101
   0.387755, 20494.144718
   0.408163, 20385.778467
   0.428571, 20265.763648
   0.448980, 20133.627211
   0.469388, 19988.832775
   0.489796, 19830.771788
   0.510204, 19658.608516
   0.530612, 19471.525020
   0.551020, 19268.757188
   0.571429, 19049.282242
   0.591837, 18811.935338
   0.612245, 18555.387703
   0.632653, 18278.120474
   0.653061, 17978.393093
   0.673469, 17654.204753
   0.693878, 17303.246763
   0.714286, 16922.842793
   0.734694, 16509.872481
   0.755102, 16060.671412
   0.775510, 15570.896250
   0.795918, 15035.336408
   0.816327, 14447.640375
   0.836735, 13799.900288
   0.857143, 13081.991012
   0.877551, 12280.462258
   0.897959, 11376.560449
   0.918367, 10342.388217
   0.938776, 9132.497110
   0.959184, 7661.715657
   0.979592, 5723.663089
   1.000000,    0.000000
