eta, Total_Load
   0.000000, 4183.252831
   0.020408, 4170.721941
   0.040816, 4176.310510
   0.061224, 4182.604006
   0.081633, 4188.661890
   0.102041, 4193.953453
   0.122449, 4198.144911
   0.142857, 4201.013519
   0.163265, 4202.404105
   0.183673, 4202.204279
   0.204082, 4200.329176
   0.224490, 4196.711538
   0.244898, 4191.294989
   0.265306, 4184.029282
   0.285714, 4174.866825
   0.306122, 4163.760035
   0.326531, 4150.659228
   0.346939, 4135.510866
   0.367347, 4118.256020
   0.387755, 4098.828944
   0.408163, 4077.155693
   0.428571, 4053.152730
   0.448980, 4026.725442
   0.469388, 3997.766555
   0.489796, 3966.154358
   0.510204, 3931.721703
   0.530612, 3894.305004
   0.551020, 3853.751438
   0.571429, 3809.856448
   0.591837, 3762.387068
   0.612245, 3711.077541
   0.632653, 3655.624095
   0.653061, 3595.678619
   0.673469, 3530.840951
   0.693878, 3460.649353
   0.714286, 3384.568559
   0.734694, 3301.974496
   0.755102, 3212.134282
   0.775510, 3114.179250
   0.795918, 3007.067282
   0.816327, 2889.528075
   0.836735, 2759.980058
   0.857143, 2616.398202
   0.877551, 2456.092452
   0.897959, 2275.312090
   0.918367, 2068.477643
   0.938776, 1826.499422
   0.959184, 1532.343131
   0.979592, 1144.732618
   1.000000,    0.000000
