Thickness;AR;X_lew;Etaykink;OEW (kg);DOC (M$_year);Block fuel (kg);LTO_Nox (kg);LTO_CO (kg);LTO UHC (kg);TOTAL GWP (kg);MS;LFL (m);TOFL (m)
15;9.5;10.8;26.5;12719.38794;12.770123;2118.328045;1.260751598;0.094086632;0.006112954;5469.214114;16.873002;1216.521786;1359.663362
15;9.5;10.8;28;12720.27175;12.770442;2118.550196;1.260797092;0.094087594;0.006113191;5469.702105;16.88563;1214.64061;1358.709537
15;9.5;10.8;29.79;12721.39569;12.770839;2118.827345;1.2608545;0.094088802;0.006113491;5470.305879;16.903368;1212.286776;1357.51975
15;9.5;10.8;31;12720.68566;12.771001;2119.00376;1.260852751;0.094089491;0.006113504;5470.796599;16.915662;1210.537155;1356.434739
15;9.5;10.8;33.5;12719.37331;12.771374;2119.391711;1.260855579;0.094091017;0.006113564;5471.851579;16.945577;1206.761041;1354.124489
15;10;10.8;33.5;12759.24796;12.799599;2113.5874;1.261693004;0.094094066;0.006117486;5464.365232;15.494991;1209.009446;1347.050723
15;10;10.8;31;12760.30509;12.799196;2113.196712;1.261682866;0.094092514;0.006117392;5463.234141;15.47349;1212.77671;1349.343019
15;10;10.8;29.79;12760.88323;12.79902;2113.018828;1.261680809;0.09409181;0.006117361;5462.709878;15.464877;1214.52123;1350.416288
15;10;10.8;28;12759.86607;12.798625;2112.745136;1.261626332;0.094090614;0.006117075;5462.04256;15.452325;1216.88545;1351.64209
15;10;10.8;26.5;12759.06476;12.798309;2112.52586;1.261583109;0.094089662;0.006116849;5461.504534;15.44364;1218.774724;1352.623472
15;10;10.8;25;12758.3083;12.798006;2112.315028;1.261541946;0.094088749;0.006116632;5460.984084;15.436612;1220.592772;1353.570593
15;10;10.7;25;12766.78957;12.798471;2111.092402;1.261713583;0.094089382;0.006117436;5458.247483;12.730759;1221.040022;1353.240239
15;10;10.7;26.5;12767.54587;12.798775;2111.30362;1.261754777;0.094090295;0.006117653;5458.778832;12.736353;1219.22133;1352.291199
15;10;10.7;28;12768.35134;12.799102;2111.525345;1.261803065;0.094091267;0.006117904;5459.320636;12.743744;1217.342177;1351.336679
15;10;10.7;29.79;12769.36809;12.799499;2111.799473;1.26185759;0.094092462;0.00611819;5460.001981;12.754599;1214.977117;1350.108296
15;10;10.7;31;12768.78962;12.799677;2111.9778;1.261859684;0.094093166;0.006118221;5460.535613;12.762036;1213.232001;1349.033537
15;10;10.7;33.5;12767.73158;12.800083;2112.369376;1.261869893;0.094094718;0.006118315;5461.687178;12.781123;1209.463437;1346.737829
15;10;10.63;33.5;12773.70441;12.800487;2111.57504;1.261997304;0.094095191;0.006118912;5459.844788;10.879815;1209.785475;1346.641234
15;10;10.63;31;12774.76295;12.800079;2111.182766;1.261986927;0.094093638;0.006118817;5458.679951;10.862416;1213.554714;1348.938535
15;10;10.63;29.79;12775.33725;12.79989;2111.002063;1.261979802;0.094092915;0.006118762;5458.14761;10.855657;1215.289543;1349.985591
15;10;10.63;28;12774.32078;12.799492;2110.727602;1.26192526;0.094091719;0.006118476;5457.457012;10.845991;1217.655215;1351.215719
15;10;10.63;26.5;12773.51987;12.799173;2110.507659;1.261881979;0.094090767;0.006118249;5456.900278;10.839734;1219.545638;1352.200456
15;10;10.63;25;12772.76367;12.798868;2110.296139;1.261840753;0.094089854;0.006118032;5456.361786;10.835145;1221.364782;1353.150704
15;10;10.5;25;12783.92708;12.799741;2108.941297;1.262081381;0.09409075;0.00611916;5452.956659;7.311247;1221.970113;1353.224745
15;10;10.5;26.5;12784.68578;12.800055;2109.154646;1.262125664;0.094091675;0.006119391;5453.503028;7.314075;1220.156568;1352.289674
15;10;10.5;28;12785.48644;12.800376;2109.375183;1.262169001;0.094092627;0.006119618;5454.072467;7.318468;1218.265249;1351.302738
15;10;10.5;29.79;12786.50255;12.800777;2109.650371;1.262223698;0.094093823;0.006119905;5454.778722;7.325925;1215.898644;1350.070286
15;10;10.5;31;12785.92349;12.800958;2109.829634;1.262225853;0.094094527;0.006119937;5455.329111;7.331007;1214.152295;1348.992767
15;10;10.5;33.5;12784.86379;12.80137;2110.223095;1.262236179;0.094096079;0.006120032;5456.517252;7.345255;1210.381033;1346.690731
15;10;10.4;33.5;12793.51192;12.802181;2109.29414;1.262430315;0.094096806;0.006120942;5454.040346;4.623589;1210.854894;1346.973933
15;10;10.4;31;12794.56971;12.801761;2108.898482;1.26241691;0.094095242;0.006120832;5452.840546;4.611649;1214.621098;1349.261608
15;10;10.4;29.79;12795.14903;12.801578;2108.71874;1.262414728;0.094094538;0.006120801;5452.282767;4.607749;1216.368083;1350.340398
15;10;10.4;28;12794.13331;12.801175;2108.443024;1.262360085;0.094093342;0.006120514;5451.565352;4.602;1218.735784;1351.575395
15;10;10.4;26.5;12793.33274;12.800853;2108.22197;1.262316636;0.09409239;0.006120286;5450.987147;4.599038;1220.627648;1352.563441
15;10;10.4;25;12792.57675;12.800543;2108.009345;1.262275317;0.094091477;0.006120069;5450.427812;4.597757;1222.448322;1353.517163
15;10;10.3;25;12801.27649;12.801454;2107.171145;1.262474802;0.094092227;0.006121004;5447.990858;1.881873;1222.932944;1353.997611
15;10;10.3;26.5;12802.03242;12.801765;2107.38429;1.262516165;0.09409314;0.006121221;5448.557997;1.881711;1221.111586;1353.042625
15;10;10.3;28;12802.83286;12.802089;2107.605853;1.262559655;0.094094092;0.006121449;5449.144275;1.883236;1219.219004;1352.053198
15;10;10.3;29.79;12803.84831;12.802494;2107.882164;1.262614345;0.094095288;0.006121736;5449.871703;1.887276;1216.850399;1350.816401
15;10;10.3;31;12803.26875;12.802678;2108.062389;1.262616562;0.094095992;0.006121768;5450.436195;1.889993;1215.102774;1349.736439
15;10;10.3;33.5;12802.20764;12.803095;2108.457795;1.262627006;0.094097545;0.006121864;5451.655055;1.899386;1211.328722;1347.428791
15;10;10.2;33.5;12810.95409;12.804123;2107.715391;1.262832185;0.094098318;0.006122825;5449.360566;-0.827018;1211.81522;1348.085585
15;10;10.2;31;12812.01582;12.803703;2107.31902;1.262821678;0.094096766;0.00612273;5448.128528;-0.833976;1215.590697;1350.395786
15;10;10.2;29.79;12812.59558;12.803518;2107.138318;1.262819428;0.094096062;0.006122698;5447.557974;-0.835508;1217.338973;1351.476856
15;10;10.2;28;12811.5803;12.803112;2106.861367;1.262764616;0.094094866;0.00612241;5446.821621;-0.837842;1219.708337;1352.714853
15;10;10.2;26.5;12810.78004;12.802786;2106.639312;1.262721161;0.094093913;0.006122182;5446.227944;-0.837923;1221.601811;1353.705958
15;10;10.2;25;12810.02414;12.802474;2106.425632;1.262679755;0.094093;0.006121965;5445.653747;-0.836317;1223.423864;1354.662078
15;10.5;10.2;25;12849.77105;12.830787;2101.748663;1.263557158;0.094096239;0.006126076;5437.086533;-2.660992;1225.715082;1350.636285
15;10.5;10.2;26.5;12850.45026;12.831098;2101.962246;1.263596531;0.094097143;0.006126284;5437.700402;-2.664197;1223.885793;1349.661218
15;10.5;10.2;28;12851.16794;12.831423;2102.184402;1.263637853;0.094098086;0.006126502;5438.336242;-2.666049;1221.984724;1348.649698
15;10.5;10.2;29.79;12852.07654;12.831829;2102.461605;1.263689779;0.09409927;0.006126776;5439.12647;-2.666476;1219.605339;1347.384199
15;10.5;10.2;31;12851.61598;12.832029;2102.645568;1.263695537;0.094099987;0.006126824;5439.726268;-2.666927;1217.861768;1346.317053
15;10.5;10.2;33.5;12850.78516;12.832488;2103.05052;1.263717345;0.094101582;0.006126973;5441.018105;-2.664581;1214.104205;1344.056511
15;10.5;10.3;33.5;12842.01142;12.831379;2103.708611;1.263507931;0.094100789;0.006125991;5443.327273;0.134164;1213.613582;1343.209238
15;10.5;10.3;31;12842.84567;12.830932;2103.306687;1.263490741;0.094099213;0.006125864;5442.04148;0.129966;1217.379429;1345.493543
15;10.5;10.3;29.79;12843.30609;12.830733;2103.123347;1.26348501;0.094098496;0.006125816;5441.447424;0.1294;1219.122336;1346.559818
15;10.5;10.3;28;12842.39346;12.83032;2102.845253;1.263428567;0.094097294;0.00612552;5440.672035;0.12814;1221.491004;1347.798294
15;10.5;10.3;26.5;12841.67578;12.829997;2102.623828;1.263387345;0.094096351;0.006125303;5440.042904;0.12876;1223.391454;1348.809242
15;10.5;10.3;25;12840.99659;12.829687;2102.410955;1.263348023;0.094095446;0.006125095;5439.435597;0.130724;1225.220046;1349.783525
15;10.5;10.4;25;12832.27021;12.8287;2103.167263;1.26314443;0.094094678;0.006124141;5441.909927;2.920123;1224.731393;1349.110029
15;10.5;10.4;26.5;12832.9533;12.829018;2103.381169;1.263188298;0.0940956;0.00612437;5442.503428;2.919598;1222.913366;1348.162672
15;10.5;10.4;28;12833.67106;12.829339;2103.601874;1.263229482;0.094096543;0.006124587;5443.124945;2.920212;1221.013645;1347.152738
15;10.5;10.4;29.79;12834.57997;12.829741;2103.877361;1.263281308;0.094097727;0.006124861;5443.897322;2.922719;1218.636098;1345.889716
15;10.5;10.4;31;12834.1197;12.829939;2104.060048;1.263286996;0.094098444;0.006124909;5444.484983;2.924301;1216.893829;1344.824294
15;10.5;10.4;33.5;12833.28591;12.830383;2104.460611;1.263304099;0.094100021;0.006125035;5445.756873;2.930584;1213.129372;1342.541954
15;10.5;10.5;33.5;12824.61079;12.8295;2105.307474;1.263105931;0.094099276;0.006124106;5448.299997;5.724585;1212.651694;1342.058178
15;10.5;10.5;31;12825.44408;12.829059;2104.90832;1.26308892;0.0940977;0.00612398;5447.04351;5.71622;1216.414788;1344.338464
15;10.5;10.5;29.79;12825.90419;12.828862;2104.726307;1.263083277;0.094096983;0.006123932;5446.462925;5.713624;1218.156433;1345.402994
15;10.5;10.5;28;12824.99509;12.828463;2104.451703;1.263031514;0.094095799;0.006123659;5445.700962;5.709653;1220.533097;1346.664642
15;10.5;10.5;26.5;12824.27726;12.828143;2104.231732;1.262990383;0.094094856;0.006123442;5445.087829;5.707807;1222.432118;1347.673527
15;10.5;10.5;25;12823.59804;12.827836;2104.020307;1.262951154;0.094093952;0.006123235;5444.495981;5.707295;1224.259345;1348.645919
15;10.5;10.63;25;12812.39796;12.826872;2105.270524;1.262702482;0.094093021;0.006122069;5448.029644;9.326598;1223.642781;1348.28858
15;10.5;10.63;26.5;12813.07729;12.827176;2105.481028;1.262741714;0.094093926;0.006122277;5448.609706;9.328717;1221.816563;1347.318013
15;10.5;10.63;28;12813.79525;12.827494;2105.700042;1.262782772;0.094094868;0.006122493;5449.210734;9.332164;1219.91843;1346.310645
15;10.5;10.63;29.79;12814.70463;12.82789;2105.973495;1.26283445;0.094096052;0.006122766;5449.957649;9.338034;1217.542886;1345.050977
15;10.5;10.63;31;12814.24477;12.828084;2106.154607;1.262840032;0.094096769;0.006122814;5450.528016;9.341946;1215.802034;1343.987672
15;10.5;10.63;33.5;12813.41473;12.828527;2106.553032;1.262859908;0.094098357;0.006122953;5451.757912;9.353108;1212.047044;1341.727096
15;10.5;10.7;33.5;12807.4234;12.82808;2107.291049;1.262729941;0.094097873;0.006122344;5453.688591;11.305033;1211.72284;1341.674592
15;10.5;10.7;31;12808.25555;12.827645;2106.8948;1.262713108;0.094096297;0.006122219;5452.467457;11.292514;1215.483274;1343.950392
15;10.5;10.7;29.79;12808.71527;12.827452;2106.714177;1.262707553;0.09409558;0.006122171;5451.903088;11.287895;1217.223701;1345.012971
15;10.5;10.7;28;12807.80317;12.827052;2106.44018;1.262652928;0.094094385;0.006121885;5451.169316;11.280916;1219.592242;1346.254513
15;10.5;10.7;26.5;12807.08506;12.826736;2106.221647;1.262611832;0.094093442;0.006121668;5450.575481;11.276607;1221.489744;1347.260555
