eta, Cm
   0.000000,    0.013719
   0.020408,    0.013259
   0.040816,    0.012830
   0.061224,    0.012383
   0.081633,    0.011916
   0.102041,    0.011429
   0.122449,    0.010924
   0.142857,    0.010399
   0.163265,    0.009855
   0.183673,    0.009291
   0.204082,    0.008709
   0.224490,    0.008108
   0.244898,    0.007489
   0.265306,    0.006851
   0.285714,    0.006195
   0.306122,    0.005521
   0.326531,    0.004830
   0.346939,    0.004122
   0.367347,    0.003397
   0.387755,    0.002655
   0.408163,    0.001898
   0.428571,    0.001126
   0.448980,    0.000339
   0.469388,   -0.000461
   0.489796,   -0.001273
   0.510204,   -0.002097
   0.530612,   -0.002930
   0.551020,   -0.003772
   0.571429,   -0.004620
   0.591837,   -0.005472
   0.612245,   -0.006325
   0.632653,   -0.007177
   0.653061,   -0.008023
   0.673469,   -0.008860
   0.693878,   -0.009681
   0.714286,   -0.010480
   0.734694,   -0.011251
   0.755102,   -0.011983
   0.775510,   -0.012666
   0.795918,   -0.013286
   0.816327,   -0.013824
   0.836735,   -0.014260
   0.857143,   -0.014565
   0.877551,   -0.014702
   0.897959,   -0.014620
   0.918367,   -0.014244
   0.938776,   -0.013462
   0.959184,   -0.012073
   0.979592,   -0.009631
   1.000000,    0.000000
