eta, Cm
   0.000000,    0.068597
   0.020408,    0.066294
   0.040816,    0.064152
   0.061224,    0.061914
   0.081633,    0.059579
   0.102041,    0.057147
   0.122449,    0.054618
   0.142857,    0.051993
   0.163265,    0.049273
   0.183673,    0.046457
   0.204082,    0.043546
   0.224490,    0.040542
   0.244898,    0.037444
   0.265306,    0.034255
   0.285714,    0.030976
   0.306122,    0.027607
   0.326531,    0.024151
   0.346939,    0.020609
   0.367347,    0.016984
   0.387755,    0.013277
   0.408163,    0.009491
   0.428571,    0.005630
   0.448980,    0.001697
   0.469388,   -0.002303
   0.489796,   -0.006365
   0.510204,   -0.010483
   0.530612,   -0.014650
   0.551020,   -0.018859
   0.571429,   -0.023099
   0.591837,   -0.027359
   0.612245,   -0.031627
   0.632653,   -0.035885
   0.653061,   -0.040116
   0.673469,   -0.044298
   0.693878,   -0.048403
   0.714286,   -0.052402
   0.734694,   -0.056255
   0.755102,   -0.059917
   0.775510,   -0.063331
   0.795918,   -0.066428
   0.816327,   -0.069121
   0.836735,   -0.071301
   0.857143,   -0.072826
   0.877551,   -0.073511
   0.897959,   -0.073098
   0.918367,   -0.071221
   0.938776,   -0.067310
   0.959184,   -0.060366
   0.979592,   -0.048153
   1.000000,    0.000000
