Cl, Efficiency
   0.393706,    3.494999
   0.497101,    4.600844
   0.600297,    5.766138
   0.703299,    6.962349
   0.806092,    8.175593
   0.908676,    9.375209
   1.011052,   10.522798
   1.113228,   11.568859
   1.215556,   12.504581
   1.317373,   13.303676
   1.418972,   13.950551
   1.520351,   14.437189
   1.621502,   14.776845
   1.722428,   14.967218
   1.823138,   15.008342
   1.923628,   14.924939
   2.023888,   14.746836
   2.123920,   14.488848
   2.223721,   14.172238
   2.323292,   13.810605
   2.422631,   13.417981
   2.521744,   13.001017
   2.619353,   12.562302
   2.710444,   12.091730
   2.790377,   11.582776
   2.855826,   11.037192
   2.904776,   10.460287
   2.936512,    9.860890
   2.951610,    9.248791
   2.951830,    8.661138
   2.939694,    8.239640
