Cl, Efficiency
   0.385203,    3.422554
   0.477017,    4.404096
   0.568679,    5.428705
   0.660179,    6.486831
   0.751510,    7.567544
   0.842676,    8.647161
   0.933692,    9.681067
   1.024544,   10.656948
   1.115225,   11.560300
   1.206105,   12.376496
   1.296513,   13.076497
   1.386754,   13.645687
   1.476831,   14.078079
   1.566735,   14.384923
   1.656467,   14.573565
   1.746022,   14.655362
   1.835408,   14.632757
   1.924629,   14.512358
   2.013678,   14.319469
   2.102550,   14.074270
   2.191248,   13.784495
   2.279775,   13.458811
   2.368136,   13.102087
   2.456328,   12.726593
   2.543624,   12.340473
   2.626441,   11.935097
   2.701155,   11.498049
   2.765018,   11.025323
   2.816153,   10.520569
   2.853544,    9.993163
   2.877048,    9.424839
