Cl, Efficiency
   0.393779,    3.495646
   0.497195,    4.601709
   0.600411,    5.767236
   0.703434,    6.963685
   0.806248,    8.177170
   0.908852,    9.377026
   1.011248,   10.524843
   1.113445,   11.571113
   1.215793,   12.507021
   1.317630,   13.306275
   1.419249,   13.953279
   1.520648,   14.440013
   1.621819,   14.779735
   1.722765,   14.970145
   1.823495,   15.011276
   1.924004,   14.927855
   2.024283,   14.749714
   2.124334,   14.491673
   2.224154,   14.174998
   2.323744,   13.813291
   2.423101,   13.420585
   2.522233,   13.003537
   2.619859,   12.564732
   2.710967,   12.094064
   2.790915,   11.585081
   2.856375,   11.039380
   2.905333,   10.462354
   2.937074,    9.862886
   2.952174,    9.250655
   2.952393,    8.662926
   2.940253,    8.241408
