alpha body, Efficiency
   0.371785,    3.303091
   0.460701,    4.252681
   0.549494,    5.243985
   0.638157,    6.267757
   0.726685,    7.313417
   0.815081,    8.357671
   0.903358,    9.356772
   0.991506,   10.299671
   1.079518,   11.172892
   1.167755,   11.961984
   1.255564,   12.637397
   1.343245,   13.185671
   1.430796,   13.602061
   1.518215,   13.897563
   1.605499,   14.077115
   1.692647,   14.152533
   1.779665,   14.128495
   1.866557,   14.001041
   1.953317,   13.748824
