Cl, Efficiency
   0.385044,    3.418100
   0.485975,    4.497863
   0.586711,    5.635640
   0.687260,    6.803570
   0.787607,    7.988113
   0.887753,    9.159340
   0.987701,   10.279725
   1.087460,   11.300232
   1.187372,   12.212893
   1.286795,   12.991982
   1.386012,   13.622440
   1.485024,   14.096509
   1.583823,   14.427181
   1.682414,   14.612262
   1.780806,   14.651602
   1.878994,   14.568642
   1.976972,   14.393544
   2.074742,   14.140774
   2.172300,   13.831069
   2.269650,   13.477678
   2.366789,   13.094123
   2.463724,   12.686196
   2.559206,   12.257310
   2.648335,   11.797404
   2.726572,   11.300127
   2.790662,   10.766066
   2.838630,   10.200429
   2.869770,    9.581628
   2.884638,    8.991677
