Cl, Efficiency
   0.394046,    3.501121
   0.488147,    4.506851
   0.582092,    5.556743
   0.675870,    6.641006
   0.769473,    7.748428
   0.862905,    8.854739
   0.956179,    9.914224
   1.049280,   10.914411
   1.142203,   11.840871
   1.235322,   12.678077
   1.327950,   13.396388
   1.420402,   13.980663
   1.512676,   14.424712
   1.604766,   14.740018
   1.696668,   14.934076
   1.788381,   15.018503
   1.879908,   14.996298
   1.971256,   14.874204
   2.062417,   14.677556
   2.153383,   14.427050
   2.244157,   14.130621
   2.334743,   13.797169
   2.425145,   13.431704
   2.515360,   13.047533
   2.604643,   12.652448
   2.689326,   12.237551
   2.765701,   11.790217
   2.830960,   11.306497
   2.883185,   10.791142
   2.921341,   10.254789
   2.945286,    9.704062
   2.955763,    9.146521
   2.954250,    8.625700
   2.942748,    8.249040
