Ground Distance, Altitude
 725.131192,    0.000000
 730.987301,    0.000000
 736.843409,    0.000000
 742.699518,    0.000000
 748.555627,    0.000000
 754.411735,    0.000000
 760.267844,    0.000000
 766.123952,    0.000000
 771.980061,    0.000000
 777.836170,    0.000000
 783.750336,    0.000000
 789.777456,    0.000000
 795.804575,    0.000000
 801.831695,    0.000000
 807.858815,    0.000000
 813.885934,    0.000000
 819.913054,    0.000000
 825.940173,    0.000000
 831.967293,    0.000000
 837.994413,    0.000000
 844.075505,    0.000000
 850.261604,    0.000000
 856.447703,    0.000000
 862.633801,    0.000000
 868.819900,    0.000000
 875.005999,    0.000000
 881.192097,    0.000000
 887.378196,    0.000000
 893.564295,    0.000000
 899.750393,    0.000000
 903.836329,    0.000000
 910.146858,    0.171580
 916.457386,    0.343160
 922.767915,    0.514740
 929.078444,    0.686320
 935.388973,    0.857900
 941.699502,    1.029481
 948.010031,    1.201061
 954.320560,    1.372641
 960.631089,    1.544221
 966.941618,    1.715801
 973.292781,    2.156170
 979.643945,    2.596539
 985.995108,    3.036908
 992.346272,    3.477278
 998.697435,    3.917647
1005.055072,    4.541906
1011.412710,    5.166164
1017.770347,    5.790423
1024.127984,    6.414682
1030.485621,    7.038940
1036.836308,    7.837942
1043.186996,    8.636943
1049.537683,    9.435944
1055.888370,   10.234946
