Ground Distance, Speed
   0.000000,    0.000000
   1.855531,    3.701955
   7.385609,    7.349008
  16.535086,   10.940679
  29.248359,   14.476534
  45.469417,   17.956187
  65.141892,   21.379311
  88.209100,   24.745618
 114.614104,   28.054865
 144.299754,   31.306876
 177.208735,   34.501518
 213.283630,   37.638698
 252.466987,   40.718445
 294.701407,   43.740858
 339.929664,   46.706155
 388.094774,   49.614631
 439.140110,   52.466660
 493.009404,   55.262614
 549.646768,   58.002835
 576.706913,   59.248850
 637.296845,   61.929351
 677.576266,   63.643578
 715.368679,   65.168877
 748.258526,   66.367443
 815.569039,   68.073249
 884.126869,   68.941009
 900.184214,   69.062589
 968.494862,   69.287225
1037.781758,   69.286578
1107.068027,   69.285965
1176.353765,   69.285526
1245.639141,   69.285218
1314.924256,   69.285087
1384.209403,   69.284948
1453.494346,   69.285125
1522.779413,   69.285237
1592.064567,   69.285226
1661.349843,   69.285307
1730.635231,   69.285373
1731.538732,   69.285377
1793.484110,   69.285064
1862.769451,   69.285522
1932.054788,   69.285299
2001.340191,   69.285412
2070.625703,   69.285527
2139.911349,   69.285693
2209.197153,   69.285867
2278.483115,   69.286040
2347.769223,   69.286196
2417.055496,   69.286399
2486.341906,   69.286550
2555.628444,   69.286703
2624.915151,   69.286880
2694.201999,   69.287016
2763.489005,   69.287130
2832.776137,   69.287265
2902.063428,   69.287392
2971.350858,   69.287513
3040.638423,   69.287637
3109.926126,   69.287762
3179.213971,   69.287902
3248.501974,   69.288054
3317.790135,   69.288193
3387.078444,   69.288337
3456.366906,   69.288489
3525.655521,   69.288629
3594.944289,   69.288797
3664.233231,   69.288972
3733.522347,   69.289147
3802.811636,   69.289324
3872.101081,   69.289474
3941.390683,   69.289644
4010.680432,   69.289786
4079.970343,   69.289980
4149.260443,   69.290190
4218.550713,   69.290363
4287.841155,   69.290563
4357.131795,   69.290793
4426.422608,   69.290981
4495.713617,   69.291210
4565.004804,   69.291377
4634.296181,   69.291519
4703.587708,   69.291674
4772.879416,   69.291832
4842.171301,   69.291998
4911.463367,   69.292149
4980.755601,   69.292327
5050.048030,   69.292499
5119.340640,   69.292668
5188.633435,   69.292857
5257.926425,   69.293033
5327.219592,   69.293199
5396.512930,   69.293369
5465.806446,   69.293553
5535.100008,   69.293379
5604.393079,   69.292858
5673.686060,   69.293042
5742.979254,   69.293266
5812.272639,   69.293447
5881.566166,   69.293626
5950.859835,   69.293840
6020.153659,   69.293946
6089.447634,   69.294070
6158.741785,   69.294211
6228.036112,   69.294368
6297.330603,   69.294509
6366.625242,   69.294677
6435.920039,   69.294860
6505.214982,   69.295042
6574.510096,   69.295286
6643.805371,   69.295405
6713.100775,   69.295494
6782.396314,   69.295624
6851.692028,   69.295772
6920.987905,   69.295895
6990.283930,   69.296062
7059.580132,   69.296236
7128.876507,   69.296422
7198.173047,   69.296579
7267.469753,   69.296777
7336.766619,   69.296955
7406.063640,   69.297147
7475.360855,   69.297404
7544.658233,   69.297528
7613.955753,   69.297661
7683.253441,   69.297780
7752.551273,   69.297916
7821.849272,   69.298074
7891.147453,   69.298240
7960.445810,   69.298393
8000.000000,   69.298641
