CD, CL
   0.035927,   -0.629035
   0.032961,   -0.567255
   0.030484,   -0.505508
   0.028479,   -0.443789
   0.026972,   -0.382100
   0.025941,   -0.320436
   0.025412,   -0.258797
   0.025359,   -0.197183
   0.025806,   -0.135593
   0.026737,   -0.074031
   0.028171,   -0.012492
   0.030091,    0.049023
   0.032516,    0.110516
   0.035434,    0.171987
   0.038856,    0.233433
   0.042785,    0.294858
   0.047223,    0.356262
   0.052173,    0.417645
   0.057625,    0.479008
   0.063596,    0.540349
   0.070070,    0.601671
   0.077062,    0.662973
   0.084564,    0.724257
   0.092586,    0.785524
   0.101125,    0.846771
   0.110198,    0.909083
   0.119872,    0.974673
   0.130118,    1.040671
   0.140958,    1.106975
   0.152387,    1.172066
