CD, CL
   0.035046,   -0.620532
   0.032081,   -0.558752
   0.029604,   -0.497005
   0.027598,   -0.435286
   0.026091,   -0.373597
   0.025060,   -0.311933
   0.024531,   -0.250294
   0.024478,   -0.188680
   0.024925,   -0.127090
   0.025856,   -0.065528
   0.027290,   -0.003989
   0.029211,    0.057526
   0.031635,    0.119019
   0.034553,    0.180490
   0.037975,    0.241936
   0.041905,    0.303361
   0.046342,    0.364765
   0.051292,    0.426148
   0.056744,    0.487511
   0.062715,    0.548852
   0.069189,    0.610174
   0.076182,    0.671476
   0.083683,    0.732760
   0.091705,    0.794027
   0.100244,    0.855274
   0.109317,    0.917586
   0.118991,    0.983176
   0.129238,    1.049174
   0.140077,    1.115478
   0.151506,    1.180569
