CD, CL
   0.033919,   -0.413674
   0.030954,   -0.351894
   0.028477,   -0.290147
   0.026471,   -0.228428
   0.024964,   -0.166739
   0.023934,   -0.105075
   0.023404,   -0.043436
   0.023352,    0.018178
   0.023799,    0.079768
   0.024729,    0.141330
   0.026163,    0.202869
   0.028084,    0.264384
   0.030508,    0.325877
   0.033426,    0.387348
   0.036849,    0.448794
   0.040778,    0.510219
   0.045215,    0.571623
   0.050166,    0.633006
   0.055617,    0.694369
   0.061588,    0.755710
   0.068062,    0.817032
   0.075055,    0.878334
   0.082556,    0.939618
   0.090579,    1.000885
   0.099118,    1.062132
   0.108190,    1.124444
   0.117864,    1.190034
   0.128111,    1.256032
   0.138950,    1.322336
   0.150379,    1.387427
