Ground Roll Distance, Horizontal Forces
 330.222222, -8517.678452
 337.541733, -8505.524830
 387.431833, -8423.733817
 397.329943, -8407.723458
 407.201582, -8391.827227
 417.046822, -8376.044357
 426.865733, -8360.374088
 427.257943, -8359.749608
 428.042237, -8358.501186
 428.355907, -8358.002018
 428.489195, -8357.789927
 428.755757, -8357.365808
 428.777854, -8357.330652
 428.796766, -8357.300564
 428.807152, -8357.284041
 428.814229, -8357.272782
 428.816604, -8357.269004
 428.817961, -8357.266844
 428.818625, -8357.265789
 428.819035, -50617.511052
 428.819413, -50617.594632
 428.823190, -50618.430438
 428.860964, -50626.789145
 429.238617, -50710.441128
 433.006388, -51553.481037
 464.091448, -59145.675681
 493.841567, -67657.111861
 521.007085, -76763.970480
 545.570886, -86383.196886
 567.604972, -96428.793533
 587.212601, -106802.156648
 604.516208, -117394.079109
 609.095721, -120471.949452
 612.881117, -123115.582557
 614.534514, -124300.235737
 615.361070, -124896.443321
 616.275506, -125536.459266
 625.102632, -132000.793348
 629.975607, -135814.098904
 633.348193, -138568.258159
 634.407108, -139449.815435
 635.398806, -140278.401166
 644.744938, -148580.029338
 647.625550, -151343.775999
 649.558982, -153262.090418
 651.839192, -155596.086575
 652.490147, -156277.611430
 653.656908, -157437.436513
 654.700485, -158490.035712
 663.023111, -167578.811125
 669.604766, -176067.749804
 670.768427, -177772.514783
 671.357120, -178670.181873
 671.676596, -179222.356895
 671.960970, -179724.752104
 674.389369, -184501.972884
 676.647926, -190951.522064
 676.872630, -192101.159505
 676.981229, -192879.692089
 677.042513, -193561.545627
 677.066363, -194167.015540
 677.067300, -194294.071230
 677.067312, -194309.907991
