alpha_w, CM
  -2.000000,   -0.140759
  -1.794872,   -0.141011
  -1.589744,   -0.139072
  -1.384615,   -0.135625
  -1.179487,   -0.134784
  -0.974359,   -0.136235
  -0.769231,   -0.137620
  -0.564103,   -0.138842
  -0.358974,   -0.139618
  -0.153846,   -0.140239
   0.051282,   -0.140585
   0.256410,   -0.140793
   0.461538,   -0.140990
   0.666667,   -0.141126
   0.871795,   -0.141079
   1.076923,   -0.140989
   1.282051,   -0.140743
   1.487179,   -0.140585
   1.692308,   -0.140216
   1.897436,   -0.139887
   2.102564,   -0.139360
   2.307692,   -0.138756
   2.512821,   -0.138203
   2.717949,   -0.137438
   2.923077,   -0.136594
   3.128205,   -0.135735
   3.333333,   -0.135093
   3.538462,   -0.134434
   3.743590,   -0.133761
   3.948718,   -0.133187
   4.153846,   -0.132826
   4.358974,   -0.132654
   4.564103,   -0.132595
   4.769231,   -0.132659
   4.974359,   -0.132820
   5.179487,   -0.132966
   5.384615,   -0.133138
   5.589744,   -0.133047
   5.794872,   -0.132886
   6.000000,   -0.132678
