alpha body, CM
  -4.000000,    0.000362
  -3.517241,    0.000334
  -3.034483,    0.000310
  -2.551724,    0.000287
  -2.068966,    0.000265
  -1.586207,    0.000244
  -1.103448,    0.000223
  -0.620690,    0.000203
  -0.137931,    0.000184
   0.344828,    0.000165
   0.827586,    0.000146
   1.310345,    0.000128
   1.793103,    0.000110
   2.275862,    0.000093
   2.758621,    0.000075
   3.241379,    0.000058
   3.724138,    0.000041
   4.206897,    0.000024
   4.689655,    0.000007
   5.172414,   -0.000010
   5.655172,   -0.000028
   6.137931,   -0.000046
   6.620690,   -0.000065
   7.103448,   -0.000084
   7.586207,   -0.000104
   8.068966,   -0.000128
