alpha body, CM
  -4.000000,    0.305756
  -3.517241,    0.279890
  -3.034483,    0.257228
  -2.551724,    0.234630
  -2.068966,    0.212103
  -1.586207,    0.189638
  -1.103448,    0.167233
  -0.620690,    0.144888
  -0.137931,    0.122602
   0.344828,    0.100385
   0.827586,    0.078225
   1.310345,    0.056121
   1.793103,    0.034073
   2.275862,    0.012081
   2.758621,   -0.009849
   3.241379,   -0.031724
   3.724138,   -0.053547
   4.206897,   -0.075319
   4.689655,   -0.097039
   5.172414,   -0.118703
   5.655172,   -0.140448
   6.137931,   -0.162938
   6.620690,   -0.186022
   7.103448,   -0.209203
   7.586207,   -0.232511
   8.068966,   -0.260220
