alpha body, CM
  -4.000000,   -0.119894
  -3.517241,   -0.107794
  -3.034483,   -0.095697
  -2.551724,   -0.083602
  -2.068966,   -0.071509
  -1.586207,   -0.059417
  -1.103448,   -0.047326
  -0.620690,   -0.035236
  -0.137931,   -0.023146
   0.344828,   -0.011055
   0.827586,    0.001037
   1.310345,    0.013131
   1.793103,    0.025227
   2.275862,    0.037327
   2.758621,    0.049432
   3.241379,    0.061542
   3.724138,    0.073658
   4.206897,    0.085781
   4.689655,    0.097913
   5.172414,    0.110055
   5.655172,    0.122207
   6.137931,    0.134371
   6.620690,    0.146549
   7.103448,    0.158741
   7.586207,    0.170949
   8.068966,    0.183176
