alpha body, CM
  -4.000000,   -0.163056
  -3.517241,   -0.154838
  -3.034483,   -0.146422
  -2.551724,   -0.137802
  -2.068966,   -0.128985
  -1.586207,   -0.119968
  -1.103448,   -0.110753
  -0.620690,   -0.101341
  -0.137931,   -0.091732
   0.344828,   -0.081526
   0.827586,   -0.071555
   1.310345,   -0.061394
   1.793103,   -0.051040
   2.275862,   -0.040495
   2.758621,   -0.029758
   3.241379,   -0.018832
   3.724138,   -0.007716
   4.206897,    0.003589
   4.689655,    0.015081
   5.172414,    0.026761
   5.655172,    0.038626
   6.137931,    0.050678
   6.620690,    0.062911
   7.103448,    0.075327
   7.586207,    0.087924
   8.068966,    0.099281
