Ground Roll distance, Vertical Forces
 339.063452, 252653.256292
 347.040907, 251308.228464
 402.113216, 242155.620706
 413.005807, 240372.563640
 423.858246, 238604.925457
 434.670735, 236852.538247
 445.443470, 235115.236354
 447.593264, 234769.571792
 447.644993, 234761.258528
 447.682368, 234755.252259
 447.700784, 234752.292658
 447.712493, 234750.411088
 447.716572, 234749.755553
 447.718950, 234749.373486
 447.719427, 234749.179637
 447.719861, 234748.993490
 447.724205, 234747.132012
 447.767639, 234728.516318
 448.201889, 234542.268458
 452.534861, 232670.690438
 483.997811, 218325.090066
 491.450409, 214720.446632
 499.799419, 210581.486954
 535.322690, 191683.899200
 568.667928, 171803.752676
 598.542904, 151918.458522
 625.040891, 132352.052289
 648.360866, 113375.235703
 668.725764, 95233.279666
 686.361507, 78147.503478
 690.583998, 73844.392908
 691.284618, 73121.921864
 692.111781, 72265.903814
 700.111981, 63814.402564
 705.021995, 58466.168062
 708.463646, 54640.307259
 709.624491, 53335.078871
 710.659040, 52165.362624
 720.361993, 40882.183956
 723.013684, 37694.873564
 725.199069, 35032.383148
 726.404049, 33550.142351
 727.090349, 32701.324058
 727.434348, 32274.605119
 727.773961, 31852.547350
 731.046368, 27745.488543
 739.461428, 16826.096415
 745.855189, 8137.194601
 747.244120, 6195.491701
 748.335298, 4652.585672
 751.144569,  593.234629
 751.423303,  180.778928
 751.510489,   51.018403
 751.542995,    2.470177
 751.544494,    0.227062
 751.544637,    0.012059
 751.544645,    0.000503
