alpha, CL
 -13.000000,    0.196928
 -12.165889,    0.264921
 -11.331777,    0.332915
 -10.497666,    0.400908
  -9.663554,    0.468901
  -8.829443,    0.536895
  -7.995332,    0.604888
  -7.161220,    0.672881
  -6.327109,    0.740875
  -5.492997,    0.808868
  -4.658886,    0.876862
  -3.824774,    0.944855
  -2.990663,    1.012848
  -2.156552,    1.080842
  -1.322440,    1.148835
  -0.488329,    1.216828
   0.345783,    1.284822
   1.179894,    1.352815
   2.014005,    1.420808
   2.848117,    1.488802
   3.682228,    1.556795
   4.516340,    1.624789
   5.350451,    1.692782
   6.184563,    1.760775
   7.018674,    1.828769
   7.852785,    1.896762
   8.686897,    1.964913
   9.521008,    2.034381
  10.355120,    2.106270
  11.189231,    2.181009
  12.023342,    2.258351
  12.857454,    2.337373
  13.691565,    2.416474
  14.525677,    2.493378
  15.359788,    2.565130
  16.193899,    2.628102
  17.028011,    2.677986
  17.862122,    2.709800
  18.696234,    2.717883
  19.530345,    2.695900
