alpha, CL
 -13.000000,   -0.406130
 -12.417014,   -0.354827
 -11.834029,   -0.303525
 -11.251043,   -0.252222
 -10.668057,   -0.200919
 -10.085071,   -0.149616
  -9.502086,   -0.098314
  -8.919100,   -0.047011
  -8.336114,    0.004292
  -7.753129,    0.055595
  -7.170143,    0.106897
  -6.587157,    0.158200
  -6.004171,    0.209503
  -5.421186,    0.260806
  -4.838200,    0.312108
  -4.255214,    0.363411
  -3.672229,    0.414714
  -3.089243,    0.466017
  -2.506257,    0.517319
  -1.923271,    0.568622
  -1.340286,    0.619925
  -0.757300,    0.671228
  -0.174314,    0.722530
   0.408671,    0.773833
   0.991657,    0.825136
   1.574643,    0.876438
   2.157629,    0.927741
   2.740614,    0.979044
   3.323600,    1.030347
   3.906586,    1.081649
   4.489571,    1.132952
   5.072557,    1.184255
   5.655543,    1.235558
   6.238529,    1.286904
   6.821514,    1.338496
   7.404500,    1.390453
   7.987486,    1.442743
   8.570471,    1.495175
   9.153457,    1.547406
   9.736443,    1.598936
  10.319429,    1.649109
  10.902414,    1.697117
  11.485400,    1.741992
  12.068386,    1.782616
  12.651371,    1.817712
  13.234357,    1.845850
  13.817343,    1.865443
  14.400329,    1.874750
  14.983314,    1.871875
  15.566300,    1.854766
