alpha, CL
 -10.000000,   -0.606200
  -9.361500,   -0.547522
  -8.723000,   -0.488844
  -8.084500,   -0.430166
  -7.446000,   -0.371487
  -6.807500,   -0.312809
  -6.169000,   -0.254131
  -5.530500,   -0.195453
  -4.892000,   -0.136775
  -4.253500,   -0.078097
  -3.615000,   -0.019418
  -2.976500,    0.039260
  -2.338000,    0.097938
  -1.699500,    0.156616
  -1.061000,    0.215294
  -0.422500,    0.273972
   0.216000,    0.332650
   0.854500,    0.391329
   1.493000,    0.450007
   2.131500,    0.508685
   2.770000,    0.567363
   3.408500,    0.626041
   4.047000,    0.684719
   4.685500,    0.743397
   5.324000,    0.802076
   5.962500,    0.860754
   6.601000,    0.919432
   7.239500,    0.978110
   7.878000,    1.036788
   8.516500,    1.095466
   9.155000,    1.154144
   9.793500,    1.212839
  10.432000,    1.271641
  11.070500,    1.330572
  11.709000,    1.389527
  12.347500,    1.448274
  12.986000,    1.506449
  13.624500,    1.563566
  14.263000,    1.619007
  14.901500,    1.672027
  15.540000,    1.721754
  16.178500,    1.767188
  16.817000,    1.807199
  17.455500,    1.840533
  18.094000,    1.865805
  18.732500,    1.881503
  19.371000,    1.885988
  20.009500,    1.877492
  20.648000,    1.854119
  21.286500,    1.813847
