Xcg/c, Mass
  18.742184, 36478.624621
  17.532039, 36688.624621
  16.452465, 36898.624621
  15.501245, 37108.624621
  14.676212, 37318.624621
  13.975247, 37528.624621
  13.396280, 37738.624621
  12.937285, 37948.624621
  12.596282, 38158.624621
  12.371333, 38368.624621
  12.260542, 38578.624621
  12.262056, 38788.624621
  12.374061, 38998.624621
  12.594781, 39208.624621
  12.922478, 39418.624621
  13.355452, 39628.624621
  13.892039, 39838.624621
  14.530607, 40048.624621
  15.269562, 40258.624621
  16.107341, 40468.624621
  17.042412, 40678.624621
  18.073278, 40888.624621
  19.198468, 41098.624621
  20.416546, 41308.624621
  21.726102, 41518.624621
  23.125754, 41728.624621
  24.614148, 41938.624621
  23.531512, 42148.624621
  22.561350, 42358.624621
  21.702001, 42568.624621
  20.951830, 42778.624621
  20.309239, 42988.624621
  19.772658, 43198.624621
  19.340549, 43408.624621
  19.011402, 43618.624621
  18.783739, 43828.624621
  18.656107, 44038.624621
  18.627081, 44248.624621
  18.695265, 44458.624621
  18.859288, 44668.624621
  19.117804, 44878.624621
  19.469493, 45088.624621
  19.913058, 45298.624621
  20.447229, 45508.624621
  21.070757, 45718.624621
  21.782415, 45928.624621
  22.581001, 46138.624621
  23.465333, 46348.624621
  24.434250, 46558.624621
  25.486614, 46768.624621
  26.621305, 46978.624621
  27.837224, 47188.624621
  29.133292, 47398.624621
  28.643006, 47503.624621
  28.200144, 47608.624621
  27.804393, 47713.624621
  27.455441, 47818.624621
  27.152982, 47923.624621
  26.896711, 48028.624621
  26.686324, 48133.624621
  26.521523, 48238.624621
  26.402011, 48343.624621
  26.327493, 48448.624621
  26.297678, 48553.624621
  26.312275, 48658.624621
  26.370998, 48763.624621
  26.473562, 48868.624621
  26.619686, 48973.624621
  26.809090, 49078.624621
  27.041497, 49183.624621
  27.316632, 49288.624621
  27.634222, 49393.624621
  27.993997, 49498.624621
  28.395690, 49603.624621
  28.839035, 49708.624621
  29.323767, 49813.624621
  29.849627, 49918.624621
  30.416356, 50023.624621
  31.023695, 50128.624621
