Xcg/c, Mass
  18.742184, 36478.624621
  20.468653, 36688.624621
  22.058675, 36898.624621
  23.514565, 37108.624621
  24.838589, 37318.624621
  26.032959, 37528.624621
  27.099841, 37738.624621
  28.041351, 37948.624621
  28.859558, 38158.624621
  29.556488, 38368.624621
  30.134120, 38578.624621
  30.594393, 38788.624621
  30.939202, 38998.624621
  31.170402, 39208.624621
  31.289810, 39418.624621
  31.299202, 39628.624621
  31.200318, 39838.624621
  30.994862, 40048.624621
  30.684501, 40258.624621
  30.270869, 40468.624621
  29.755564, 40678.624621
  29.140154, 40888.624621
  28.426172, 41098.624621
  27.615123, 41308.624621
  26.708478, 41518.624621
  25.707682, 41728.624621
  24.614148, 41938.624621
  26.087712, 42148.624621
  27.444923, 42358.624621
  28.687504, 42568.624621
  29.817144, 42778.624621
  30.835497, 42988.624621
  31.744186, 43198.624621
  32.544803, 43408.624621
  33.238909, 43618.624621
  33.828034, 43828.624621
  34.313681, 44038.624621
  34.697324, 44248.624621
  34.980406, 44458.624621
  35.164347, 44668.624621
  35.250539, 44878.624621
  35.240347, 45088.624621
  35.135111, 45298.624621
  34.936148, 45508.624621
  34.644749, 45718.624621
  34.262181, 45928.624621
  33.789691, 46138.624621
  33.228499, 46348.624621
  32.579807, 46558.624621
  31.844793, 46768.624621
  31.024614, 46978.624621
  30.120408, 47188.624621
  29.133292, 47398.624621
  29.777028, 47503.624621
  30.372665, 47608.624621
  30.920518, 47713.624621
  31.420904, 47818.624621
  31.874133, 47923.624621
  32.280516, 48028.624621
  32.640359, 48133.624621
  32.953965, 48238.624621
  33.221636, 48343.624621
  33.443671, 48448.624621
  33.620366, 48553.624621
  33.752014, 48658.624621
  33.838906, 48763.624621
  33.881331, 48868.624621
  33.879575, 48973.624621
  33.833921, 49078.624621
  33.744650, 49183.624621
  33.612042, 49288.624621
  33.436373, 49393.624621
  33.217916, 49498.624621
  32.956943, 49603.624621
  32.653724, 49708.624621
  32.308526, 49813.624621
  31.921614, 49918.624621
  31.493250, 50023.624621
  31.023695, 50128.624621
