alpha body, CL_e
 -10.000000,    0.590614
  -9.090909,    0.671366
  -8.181818,    0.752357
  -7.272727,    0.833586
  -6.363636,    0.915052
  -5.454545,    0.996753
  -4.545455,    1.078688
  -3.636364,    1.160857
  -2.727273,    1.243261
  -1.818182,    1.327136
  -0.909091,    1.409017
  -0.000000,    1.491131
   0.909091,    1.573480
   1.818182,    1.656064
   2.727273,    1.738883
