CL_e, CD_e
   0.102351,   -0.847335
   0.088267,   -0.735719
   0.075498,   -0.624266
   0.064104,   -0.512977
   0.054110,   -0.401853
   0.045744,   -0.290881
   0.039024,   -0.180062
   0.033832,   -0.069407
   0.030164,    0.041463
   0.028024,    0.151866
   0.027516,    0.262108
   0.028783,    0.372199
   0.031701,    0.482127
   0.036225,    0.591890
   0.042370,    0.701486
   0.050185,    0.810919
   0.059857,    0.920203
   0.071270,    1.029329
   0.084377,    1.138290
   0.099181,    1.247088
   0.115730,    1.355724
   0.134140,    1.463895
   0.154447,    1.560013
   0.176537,    1.625633
   0.200446,    1.656120
   0.226160,    1.661880
   0.253651,    1.668251
   0.272552,    1.714505
   0.282238,    1.855464
