CL_e, CD_e
   0.102370,   -0.867675
   0.088279,   -0.753378
   0.075504,   -0.639248
   0.064105,   -0.525286
   0.054110,   -0.411494
   0.045744,   -0.297860
   0.039024,   -0.184385
   0.033832,   -0.071079
   0.030164,    0.042444
   0.028024,    0.155486
   0.027516,    0.268360
   0.028783,    0.381076
   0.031701,    0.493623
   0.036223,    0.605996
   0.042363,    0.718194
   0.050173,    0.830222
   0.059840,    0.942093
   0.071248,    1.053798
   0.084349,    1.165332
   0.099148,    1.276693
   0.115691,    1.387885
   0.134095,    1.498597
   0.154394,    1.596973
   0.176472,    1.664148
   0.200345,    1.695390
   0.226015,    1.701356
   0.253471,    1.707966
   0.272310,    1.755302
   0.281955,    1.899380
