CL_e, CD_e
   0.100602,   -0.854711
   0.087947,   -0.752413
   0.076343,   -0.650251
   0.066080,   -0.548210
   0.056994,   -0.446304
   0.048980,   -0.344542
   0.042134,   -0.242922
   0.036731,   -0.141423
   0.032561,   -0.040064
   0.029527,    0.061547
   0.027768,    0.162692
   0.027470,    0.263710
   0.028436,    0.364587
   0.030622,    0.465316
   0.034164,    0.565907
   0.039180,    0.666370
   0.045475,    0.766688
   0.053061,    0.866860
   0.062084,    0.966899
   0.072578,    1.066807
   0.084390,    1.166569
   0.097563,    1.266189
   0.112239,    1.365679
   0.128407,    1.464920
   0.145922,    1.557308
   0.164888,    1.629998
   0.185422,    1.676698
   0.207465,    1.698680
   0.230918,    1.704744
   0.255654,    1.711161
   0.273141,    1.740820
   0.282243,    1.824665
   0.290050,    2.001744
   0.297378,    2.317757
