CL_e, CD_e
   0.102370,   -0.867846
   0.088279,   -0.753527
   0.075505,   -0.639374
   0.064105,   -0.525389
   0.054110,   -0.411575
   0.045744,   -0.297919
   0.039024,   -0.184421
   0.033832,   -0.071093
   0.030164,    0.042452
   0.028024,    0.155517
   0.027516,    0.268412
   0.028783,    0.381150
   0.031701,    0.493719
   0.036223,    0.606114
   0.042363,    0.718334
   0.050173,    0.830384
   0.059840,    0.942277
   0.071248,    1.054004
   0.084349,    1.165559
   0.099148,    1.276942
   0.115691,    1.388155
   0.134095,    1.498888
   0.154394,    1.597283
   0.176472,    1.664471
   0.200345,    1.695720
   0.226015,    1.701687
   0.253471,    1.708300
   0.272309,    1.755645
   0.281954,    1.899748
