CL_e, CD_e
   0.100580,   -0.803839
   0.087932,   -0.707633
   0.076334,   -0.611556
   0.066076,   -0.515591
   0.056994,   -0.419750
   0.048980,   -0.324044
   0.042134,   -0.228467
   0.036731,   -0.133000
   0.032561,   -0.037660
   0.029527,    0.057923
   0.027770,    0.153073
   0.027486,    0.248111
   0.028465,    0.343021
   0.030665,    0.437801
   0.034221,    0.532459
   0.039257,    0.627003
   0.045580,    0.721418
   0.053195,    0.815706
   0.062247,    0.909876
   0.072770,    1.003930
   0.084626,    1.097857
   0.097848,    1.191660
   0.112571,    1.285348
   0.128788,    1.378810
   0.146377,    1.465822
   0.165430,    1.534270
   0.186060,    1.578202
   0.208688,    1.598802
   0.232759,    1.604350
