CL_e, CD_e
   0.102351,   -0.816510
   0.088267,   -0.708957
   0.075498,   -0.601561
   0.064104,   -0.494323
   0.054110,   -0.387242
   0.045744,   -0.280304
   0.039024,   -0.173512
   0.033832,   -0.066874
   0.030164,    0.039976
   0.028024,    0.146380
   0.027531,    0.252633
   0.028813,    0.358745
   0.031746,    0.464707
   0.036283,    0.570514
   0.042450,    0.676166
   0.050291,    0.781667
   0.059990,    0.887030
   0.071430,    0.992246
   0.084575,    1.097310
   0.099427,    1.202223
   0.116023,    1.306986
   0.134481,    1.411307
   0.154866,    1.504001
   0.177042,    1.567265
   0.201112,    1.596608
   0.227758,    1.602057
   0.255290,    1.608063
