CL_e, CD_e
   0.102351,   -0.810882
   0.088267,   -0.704210
   0.075498,   -0.597667
   0.064104,   -0.491251
   0.054110,   -0.384966
   0.045744,   -0.278799
   0.039024,   -0.172753
   0.033832,   -0.066835
   0.030164,    0.039318
   0.028028,    0.145051
   0.027536,    0.250658
   0.028820,    0.356146
   0.031754,    0.461507
   0.036299,    0.566737
   0.042474,    0.671836
   0.050318,    0.776806
   0.060020,    0.881659
   0.071474,    0.986386
   0.084631,    1.090984
   0.099487,    1.195453
   0.116089,    1.299795
   0.134586,    1.403714
   0.154981,    1.496071
   0.177258,    1.559115
   0.202080,    1.588351
   0.227858,    1.593750
