CL_e, CD_e
   0.100580,   -0.834340
   0.087932,   -0.734481
   0.076334,   -0.634756
   0.066076,   -0.535148
   0.056994,   -0.435671
   0.048980,   -0.336334
   0.042134,   -0.237134
   0.036731,   -0.138050
   0.032561,   -0.039102
   0.029527,    0.060096
   0.027768,    0.158840
   0.027470,    0.257464
   0.028436,    0.355951
   0.030622,    0.454298
   0.034166,    0.552513
   0.039186,    0.650606
   0.045485,    0.748560
   0.053076,    0.846376
   0.062103,    0.944065
   0.072602,    1.041629
   0.084418,    1.139055
   0.097597,    1.236345
   0.112278,    1.333512
   0.128451,    1.430439
   0.145973,    1.520674
   0.164948,    1.591665
   0.185504,    1.637257
   0.207582,    1.658685
   0.231077,    1.664543
   0.255852,    1.670729
   0.273401,    1.699688
   0.282555,    1.781700
   0.290423,    1.954918
   0.297782,    2.264071
