CL_e, CD_e
   0.102351,   -0.847397
   0.088267,   -0.735773
   0.075498,   -0.624312
   0.064104,   -0.513015
   0.054110,   -0.401882
   0.045744,   -0.290902
   0.039024,   -0.180076
   0.033832,   -0.069413
   0.030164,    0.041466
   0.028024,    0.151877
   0.027516,    0.262127
   0.028783,    0.372226
   0.031701,    0.482163
   0.036225,    0.591933
   0.042370,    0.701537
   0.050185,    0.810979
   0.059857,    0.920271
   0.071270,    1.029404
   0.084376,    1.138373
   0.099181,    1.247179
   0.115730,    1.355823
   0.134140,    1.464002
   0.154447,    1.560126
   0.176536,    1.625751
   0.200446,    1.656241
   0.226160,    1.662002
   0.253650,    1.668373
   0.272551,    1.714631
   0.282237,    1.855599
