CL_e, CD_e
   0.102351,   -0.816401
   0.088267,   -0.708862
   0.075498,   -0.601481
   0.064104,   -0.494257
   0.054110,   -0.387190
   0.045744,   -0.280267
   0.039024,   -0.173489
   0.033832,   -0.066865
   0.030164,    0.039971
   0.028024,    0.146361
   0.027531,    0.252599
   0.028813,    0.358698
   0.031746,    0.464645
   0.036283,    0.570438
   0.042450,    0.676077
   0.050292,    0.781564
   0.059991,    0.886913
   0.071431,    0.992115
   0.084577,    1.097165
   0.099429,    1.202064
   0.116025,    1.306814
   0.134482,    1.411120
   0.154869,    1.503803
   0.177045,    1.567059
   0.201125,    1.596398
   0.227776,    1.601846
   0.255290,    1.607850
